
Customer ID,CIBIL ID,Customer Name,Age,Gender,Marital Status,PAN Number,Phone,Email,Address,Type of Property (Rented/Owned),Postal code,Education level,Employment Status,Experience,Salary,CIBIL Score,Product Type,Loan Amount,Interest Rate,Loan Tenure,Eligibility (0/1)
HDFC-CUST-0001,227133320,Nikita Gupta,38,Male,Married,GDCTO5002T,6577442871,nikitagupta64@outlook.com,"Pune, Maharashtra",Rented,411014,Postgraduate,Self-Employed,12,67885,785,Platinum Personal Loan,298723,9.75,48,1
HDFC-CUST-0002,617139656,Myra Sawant,33,Male,Married,JOVQW5702J,6883481367,myrasawant97@gmail.com,"Kolkata, West Bengal",Rented,700001,Graduate,Salaried,10,30365,854,Platinum Credit Card Loan,138438,17.02,36,1
HDFC-CUST-0003,781165354,Vihaan Reddy,39,Male,Married,KBXOS2486E,8175745391,vihaanreddy73@gmail.com,"Pune, Maharashtra",Owned,411014,12th Pass,Government,6,31884,622,Silver Personal Loan,281137,16.48,48,0
HDFC-CUST-0004,999541398,Atharv Thakur,46,Male,Married,CXTTI2107X,8975168513,atharvthakur30@icici.com,"Chennai, Tamil Nadu",Rented,600001,12th Pass,Salaried,3,39933,759,Gold Credit Card Loan,125363,20.02,30,1
HDFC-CUST-0005,200550700,Dhruv Nair,32,Male,Married,YCMBT7145I,9997673638,dhruvnair67@gmail.com,"Nashik, Maharashtra",Rented,422001,10th Pass,Salaried,9,36737,674,Silver Personal Loan,115957,16.48,60,0
HDFC-CUST-0006,151148088,Aditya Joshi,32,Male,Single,HMOSW5244D,6634806607,adityajoshi23@yahoo.com,"Mumbai, Maharashtra",Rented,400001,12th Pass,Retired,8,22322,686,Gold Credit Card Loan,167063,18.56,18,0
HDFC-CUST-0007,705581901,Muhammad Nair,47,Male,Married,YWEMF4039I,9267764120,muhammadnair79@gmail.com,"Pune, Maharashtra",Owned,411045,10th Pass,Salaried,10,56660,679,Silver Personal Loan,400180,13.3,48,0
HDFC-CUST-0008,551302245,Yashvi Patil,40,Male,Single,YOPBC6532V,8236237049,yashvipatil22@gmail.com,"Noida, Uttar Pradesh",Owned,201301,Postgraduate,Salaried,9,64491,660,Silver Credit Card Loan,84632,22.3,30,0
HDFC-CUST-0009,762754008,Tanmay Mishra,30,Male,Married,OYCWG8712G,8262498042,tanmaymishra10@outlook.com,"Pune, Maharashtra",Rented,411014,Postgraduate,Self-Employed,10,48079,723,Gold Personal Loan,498886,12.32,48,1
HDFC-CUST-0010,73988827,Ayaan Sawant,38,Male,Married,PDDIX7882H,6358979217,ayaansawant32@rediffmail.com,"Aurangabad, Maharashtra",Rented,431001,Graduate,Salaried,4,83734,662,Silver Credit Card Loan,225005,21.05,24,0
HDFC-CUST-0011,147365352,Muhammad Parekh,30,Male,Married,FVLHU2013C,8356830825,muhammadparekh43@gmail.com,"Gurugram, Haryana",Owned,122001,Graduate,Salaried,11,22602,739,Gold Personal Loan,158866,10.88,36,1
HDFC-CUST-0012,276346579,Mahika Sharma,30,Male,Single,BRIIW7334M,8516371548,mahikasharma48@outlook.com,"Thane, Maharashtra",Owned,400601,PhD,Salaried,7,36308,716,Gold Credit Card Loan,88982,19.44,30,1
HDFC-CUST-0013,286459114,Ishaan Kulkarni,36,Female,Single,QIVTR2102P,6485733168,ishaankulkarni23@rediffmail.com,"Pune, Maharashtra",Owned,411014,Graduate,Salaried,14,27951,703,Gold Personal Loan,284628,12.47,12,0
HDFC-CUST-0014,126704542,Saanvi Thakur,21,Female,Married,XPSNV5874I,7827424723,saanvithakur79@gmail.com,"Noida, Uttar Pradesh",Owned,201301,Graduate,Salaried,3,15731,656,Silver Credit Card Loan,74807,20.19,6,0
HDFC-CUST-0015,35061403,Kiara Parekh,21,Male,Married,TJAJT8947R,7424367789,kiaraparekh89@icici.com,"Pune, Maharashtra",Owned,411001,Postgraduate,Salaried,13,38380,680,Gold Personal Loan,524421,12.14,60,0
HDFC-CUST-0016,423697713,Rohan Gaikwad,30,Female,Single,WHYKV4709H,6767910116,rohangaikwad82@yahoo.com,"Ahmedabad, Gujarat",Owned,380001,Graduate,Salaried,7,37638,773,Platinum Credit Card Loan,134493,17.27,24,1
HDFC-CUST-0017,438411566,Vaishnavi Verma,26,Female,Married,XJYFP8263V,6750560604,vaishnaviverma72@gmail.com,"Pune, Maharashtra",Rented,411045,Graduate,Government,3,102301,755,Gold Personal Loan,360322,12.08,12,1
HDFC-CUST-0018,907476647,Sara Salunkhe,37,Female,Single,TGWVC8246M,8081273872,sarasalunkhe11@icici.com,"Bengaluru, Karnataka",Owned,560001,10th Pass,Salaried,4,54833,652,Silver Credit Card Loan,25000,23.33,12,0
HDFC-CUST-0019,598233710,Reyansh Chatterjee,27,Male,Single,GRJOI9534J,8273796172,reyanshchatterjee85@icici.com,"Hyderabad, Telangana",Rented,500001,Graduate,Government,5,28764,727,Gold Personal Loan,495312,11.16,36,0
HDFC-CUST-0020,767254489,Vihaan Thakur,23,Female,Married,DWMWO4410P,6840601539,vihaanthakur25@icici.com,"Aurangabad, Maharashtra",Rented,431001,Graduate,Salaried,8,101081,773,Platinum Credit Card Loan,50859,17.42,36,1
HDFC-CUST-0021,456980137,Tanmay Chauhan,46,Male,Married,TYFFR1100O,9227746976,tanmaychauhan94@yahoo.com,"Thane, Maharashtra",Rented,400601,Graduate,Government,8,88386,603,Silver Personal Loan,408989,14.39,60,0
HDFC-CUST-0022,542948944,Trisha Chatterjee,32,Female,Single,RSYNM0043I,6098599620,trishachatterjee32@rediffmail.com,"Jaipur, Rajasthan",Owned,302001,Diploma,Government,4,64215,758,Gold Credit Card Loan,172190,18.73,30,1
HDFC-CUST-0023,946196215,Ananya Deshmukh,35,Male,Single,SHYVO4339M,6654137672,ananyadeshmukh80@yahoo.com,"Kolkata, West Bengal",Owned,700001,Graduate,Salaried,6,35717,674,Silver Personal Loan,604098,13.43,36,0
